year,state_fips,state_name,total_pop,foreign_born,foreign_born_pct
2014,22,Louisiana,4649676,194277,4.18
2014,23,Maine,1330089,49686,3.74
2014,24,Maryland,5976407,890439,14.9
2014,25,Massachusetts,6745408,1060281,15.72
2014,26,Michigan,9909877,636569,6.42
2014,27,Minnesota,5457173,428057,7.84
2014,28,Mississippi,2994079,65150,2.18
2014,29,Missouri,6063589,225122,3.71
2014,30,Montana,1023579,23882,2.33
2014,31,Nebraska,1881503,125400,6.66
2014,32,Nevada,2839099,551722,19.43
2014,33,New Hampshire,1326813,79532,5.99
2014,34,New Jersey,8938175,1960734,21.94
2014,35,New Mexico,2085572,205653,9.86
2014,36,New York,19746227,4465469,22.61
2014,37,North Carolina,9943964,763584,7.68
2014,38,North Dakota,739482,24154,3.27
2014,39,Ohio,11594163,482114,4.16
2014,40,Oklahoma,3878051,226665,5.84
2014,41,Oregon,3970239,393652,9.92
2014,42,Pennsylvania,12787209,821700,6.43
2014,44,Rhode Island,1055173,141233,13.38
2014,45,South Carolina,4832482,228553,4.73
2014,46,South Dakota,853175,24627,2.89
2014,47,Tennessee,6549352,321258,4.91
2014,48,Texas,26956958,4522428,16.78
2014,50,Vermont,626562,25578,4.08
2014,49,Utah,2942902,249917,8.49
2014,51,Virginia,8326289,1005620,12.08
2014,53,Washington,7061530,944746,13.38
2014,54,West Virginia,1850326,25407,1.37
2014,55,Wisconsin,5757564,280157,4.87
2014,56,Wyoming,584153,22478,3.85
2014,72,Puerto Rico,3548397,93155,2.63
2015,28,Mississippi,2992333,72258,2.41
2015,29,Missouri,6083672,242761,3.99
2015,30,Montana,1032949,21356,2.07
2015,31,Nebraska,1896190,128390,6.77
2015,32,Nevada,2890845,558170,19.31
2015,33,New Hampshire,1330608,79959,6.01
2015,34,New Jersey,8958013,1977325,22.07
2015,35,New Mexico,2085109,196955,9.45
2015,36,New York,19795791,4530087,22.88
2015,37,North Carolina,10042802,794684,7.91
2015,38,North Dakota,756928,28649,3.78
2015,39,Ohio,11613423,503911,4.34
2015,40,Oklahoma,3911338,235350,6.02
2015,41,Oregon,4028977,397293,9.86
2015,42,Pennsylvania,12802503,837159,6.54
2015,44,Rhode Island,1056298,142324,13.47
2015,45,South Carolina,4896146,232749,4.75
2015,46,South Dakota,858469,27845,3.24
2015,47,Tennessee,6600299,331570,5.02
2015,48,Texas,27469114,4671295,17.01
2015,50,Vermont,626042,28247,4.51
2015,49,Utah,2995919,244467,8.16
2015,51,Virginia,8382993,1018626,12.15
2015,53,Washington,7170351,980158,13.67
2015,54,West Virginia,1844128,29522,1.6
2015,55,Wisconsin,5771337,278981,4.83
2015,56,Wyoming,586107,21999,3.75
2015,72,Puerto Rico,3474182,97343,2.8
2015,01,Alabama,4858979,169972,3.5
2015,02,Alaska,738432,58544,7.93
2015,04,Arizona,6828065,914400,13.39
2015,05,Arkansas,2978204,142841,4.8
2015,06,California,39144818,10688336,27.3
2015,08,Colorado,5456574,537066,9.84
2015,10,Delaware,945934,87509,9.25
2015,11,District of Columbia,672228,95117,14.15
2015,09,Connecticut,3590886,519648,14.47
2015,12,Florida,20271272,4086240,20.16
2015,13,Georgia,10214860,1023717,10.02
2015,16,Idaho,1654930,94364,5.7
2015,15,Hawaii,1431603,253414,17.7
2015,17,Illinois,12859995,1826156,14.2
2015,18,Indiana,6619680,321308,4.85
2015,19,Iowa,3123899,148721,4.76
2015,20,Kansas,2911641,205720,7.07
2015,21,Kentucky,4425092,157336,3.56
2015,22,Louisiana,4670724,186369,3.99
2015,23,Maine,1329328,44694,3.36
2015,24,Maryland,6006401,911582,15.18
2015,25,Massachusetts,6794422,1095953,16.13
2015,26,Michigan,9922576,652090,6.57
2015,27,Minnesota,5489594,457185,8.33
2016,28,Mississippi,2988726,58766,1.97
2016,29,Missouri,6093000,249202,4.09
2016,30,Montana,1042520,21893,2.1
2016,31,Nebraska,1907116,134137,7.03
2016,32,Nevada,2940058,586799,19.96
2016,33,New Hampshire,1334795,76309,5.72
2016,34,New Jersey,8944469,2016085,22.54
2016,35,New Mexico,2081015,198406,9.53
2016,36,New York,19745289,4536115,22.97
2016,37,North Carolina,10146788,789638,7.78
2016,38,North Dakota,757953,24588,3.24
2016,39,Ohio,11614373,513592,4.42
2016,40,Oklahoma,3923561,228414,5.82
