District,Incumbent,Party,FiveThirtyEight Partisan Lean (2021 Version),FiveThirtyEight Partisan Lean (2020 Version),Cook PVI,Biden %,Trump %,2020 Pres. Margin,Clinton %,Trump %,2016 Pres. Margin,Obama %,Romney %,2012 Pres. Margin,Obama %,McCain %,2008 Pres. Margin,FiveThirtyEight Elasticity,Non-Hispanic White CVAP,Black CVAP,Hispanic CVAP,Asian CVAP,Median Household Income,% Bachelor's Degree or Higher (25+ Pop.),College-Educated Non-Hispanic White % (25+ Pop.),Non-College Non-Hispanic White % (25+ Pop.),Density Index
CA-30,"Sherman, Brad",D,D+37,D+35,D+18,69%,29%,39%,69%,26%,43%,65%,32%,33%,66%,31%,35%,0.91,58.5%,5.2%,22.0%,11.6%,"$76,169",42.5%,27.5%,27.7%,Urban-suburban mix
CA-31,"Aguilar, Pete",D,D+16,D+14,D+8,59%,39%,20%,58%,37%,21%,57%,41%,17%,56%,41%,15%,1.28,34.1%,12.5%,44.2%,7.0%,"$58,167",23.5%,10.5%,21.6%,Dense suburban
CA-32,"Napolitano, Grace",D,D+31,D+32,D+17,65%,33%,32%,67%,28%,39%,65%,33%,33%,62%,35%,27%,1.02,21.6%,3.5%,54.6%,18.7%,"$64,151",21.0%,5.7%,12.7%,Urban-suburban mix
CA-33,"Lieu, Ted",D,D+37,D+30,D+16,69%,29%,40%,68%,27%,41%,61%,37%,24%,64%,33%,31%,1.04,70.2%,3.0%,11.4%,12.0%,"$103,176",63.9%,46.4%,22.9%,Urban-suburban mix
CA-34,"Gomez, Jimmy",D,D+63,D+67,D+35,81%,17%,64%,84%,11%,73%,83%,14%,69%,77%,19%,58%,0.95,17.6%,7.3%,50.9%,22.2%,"$40,215",25.2%,7.3%,5.4%,Pure urban
CA-35,"Torres, Norma",D,D+31,D+34,D+19,65%,33%,33%,68%,27%,41%,67%,31%,37%,64%,32%,32%,0.95,21.0%,8.6%,60.5%,7.4%,"$58,467",15.3%,4.1%,14.1%,Urban-suburban mix
CA-36,"Ruiz, Raul",D,D+8,D+2,D+2,56%,42%,14%,52%,43%,9%,51%,48%,3%,50%,47%,3%,1.01,54.4%,4.9%,35.3%,3.0%,"$46,772",20.8%,15.3%,35.3%,Dense suburban
CA-37,"Bass, Karen",D,D+68,D+70,D+37,84%,14%,71%,86%,10%,76%,85%,13%,72%,84%,13%,71%,0.82,31.9%,29.3%,26.4%,9.6%,"$54,063",37.8%,18.5%,9.6%,Pure urban
CA-38,"Sanchez, Linda",D,D+32,D+32,D+17,66%,32%,33%,67%,27%,40%,65%,33%,32%,61%,35%,26%,0.93,22.1%,4.5%,55.7%,16.0%,"$65,963",22.5%,5.3%,14.9%,Pure urban
CA-39,"Kim, Young",R,D+6,R+1,EVEN,54%,44%,10%,52%,43%,9%,47%,51%,-4%,47%,49%,-2%,0.95,38.1%,2.8%,27.9%,28.9%,"$85,147",41.1%,14.3%,19.7%,Dense suburban
